JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
novaEXCEL AVANÇADO Power BI MACROS VBA LUCRATIVIDADE E-COMMERCE,Fisgar Pesca,"São Paulo, SP",há 2 dias,2021-10-18,Somos um e-commerce em crescimento constante com mais de 20 mil anúncios. precisamos de um profissional especializado em planilhas (Excel avançado) para atuar…,R$ 1.500 - R$ 1.900 por mês
Business Intelligence Engineer,Amazon AWS Services Brazil Ltd,"São Paulo, SP",há 18 dias,2021-10-18,Research machine learning algorithms and implement by tailoring to particular business needs and tested on large datasets.,Não informado
Analista de Estudos Técnicos Sr (Business Intelligence),CARPEDIEM CONSULTORIA,"São Paulo, SP",há 30+ dias,2021-10-18,"Monitorar a carteira da CIA, criando alertas e propondo medidas em preço para garantir o crescimento e resultado esperado; Desejável conhecimento em Power BI;",Não informado
ANALISTA BUSINESS INTELLIGENCE SR,Divulga Vagas,"São Paulo, SP",há 9 dias,2021-10-18,Modelagem de dados para análise e apresentação de indicadores relacionados a geração de Leads para o Time Comercial.,R$ 5.000 por mês
"Associate I, Forensic Investigations and Intelligence",Kroll,"São Paulo, SP",há 30+ dias,2021-10-18,"Associates in Kroll’s FII practice will collect information through public and commercial databases, subjecting the intelligence to rigorous analysis, and then…",Não informado
novaPower BI | Apps | Automate Jr,Capgemini,"São Paulo, SP",há 6 dias,2021-10-18,"Se você compartilha dos mesmos valores, aqui é o seu lugar. Experiência com Power Automate, Power Apps, Power BI.",Não informado
Analista Sênior de Business Intelligence e Automação (CSC Ja...,Ambev,"Jaguariúna, SP",há 18 dias,2021-10-18,"Desenvolver o time e aumentar a maturidade da área para temas voltados à tecnologia, dados e automação. Vivência com metodologias ágeis (Scrum, Kanban e Lean);",Não informado
ANALISTA DE BUSINESS INTELLIGENCE - SÃO PAULO,OEmprego,"São Paulo, SP",há 30+ dias,2021-10-18,"Experiência em Business Intelligence (modelagem e design),Experiência em Power BI, Excel Avançado,Diferencial conhecer SQL, É um diferencial conseguir…",Não informado
novaAssistente de Operações de Recursos Humanos - Senior,IBM,"Hortolândia, SP",há 3 dias,2021-10-18,Your goal is to create an outstanding employee experience for IBMers by delivering HR-related services and supporting our employees as they support our…,Não informado
Estágio em Engenharia de Dados,FALCONI,Estado de São Paulo,há 30+ dias,2021-10-18,Estamos em busca de um(a) Estagiário(a) em Engenharia de Dados para fazer parte do nosso time! Apoio ao time no desenvolvimento de soluções inteligentes…,Não informado
